source	RNAseq_Rif_The_DEgene	RNAseq_Rif_Tox_DEgene	RNAseq_DEgene_toProtein_Rif_The	RNAseq_DEgene_toProtein_Rif_Tox	traceback_across_TFs	existed_across_TFs	traceback_TFs_RNAseq_Rif_The_DEgene	traceback_TFs_RNAseq_Rif_Tox_DEgene	traceback_TFs_RNAseq_DEgene_toProtein_Rif_The	traceback_TFs_RNAseq_DEgene_toProtein_Rif_Tox
PDZD4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ATP2B3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
COASY	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTUD5	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
TFE3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
TBC1D25	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ACSL4	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
GPKOW	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
GRIPAP1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
REEP1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
