Row Names	20160419_12_445	20160419_27_447	20160419_31_446	20160419_08_449	20160419_10_450	20160419_13_448	20160419_04_452	20160419_06_453	20160419_17_451	20160419_25_454	20160419_26_455	20160419_30_456	20160419_09_457	20160419_14_458	20160419_16_459	20160419_05_460	20160419_18_462	20160419_20_461	20160419_21_464	20160419_22_463	20160419_29_465
sp|P07099|HYEP_HUMAN	31516.719	19498.412	28113.268	42955.688	51527.25	51680.58	13407.012	43184.67	56763.984	44318.97	29246.02	14336.61	22170.98	20244.46	21604.77	39683.195	42937.414	38642.37	18162.602	7911.8853	19659.732
sp|P07108|ACBP_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	8657.385	4260.802	2780.7085	NaN	NaN	NaN	10343.217	14779.343	12717.441	NaN	NaN	NaN	7320.8716	9257.877	4153.042
sp|P07148|FABPL_HUMAN	25348.375	25205.531	22340.834	70011.83	111558.02	143531.5	458399.75	292524.8	262658.47	181141.97	173506.78	117175.17	360920.88	418527.53	423504.2	292934.47	183065.55	286285.72	433039.9	346196.2	509492.2
sp|P07195|LDHB_HUMAN	1790.069	2159.2246	1063.6849	1991.8989	3172.726	4588.107	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.19412	2532.973	66.901695	NaN	NaN	NaN
sp|P07203|GPX1_HUMAN	13715.945	8681.589	5383.4517	NaN	NaN	NaN	7118.504	5475.639	3884.1138	8485.568	5345.9775	9510.756	10791.026	10016.87	9649.457	10430.495	10616.385	10382.91	28694.068	25188.266	32439.332
sp|P07237|PDIA1_HUMAN	149948.38	130492.84	98137.164	60392.16	104593.15	212292.62	69500.25	101739.37	163895.67	103096.58	97761.0	106264.12	149761.92	177263.12	189981.0	107664.75	147745.94	86749.31	75645.664	81883.3	61413.805
sp|P07305|H10_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	3557.2964	938.8488	2602.5134	NaN	NaN	NaN	NaN	NaN	NaN	8291.968	2565.8936	4210.6826	4426.7095	4289.4746	4044.9119
sp|P07306|ASGR1_HUMAN	5618.997	4459.331	3896.124	5916.8496	3529.2627	3620.2722	NaN	NaN	NaN	2149.4844	1367.6865	526.7488	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P07327|ADH1A_HUMAN	16174.256	11476.043	10617.856	13320.276	19487.717	26294.766	10948.627	4895.2974	4424.776	14808.74	13671.099	9708.459	18187.809	19648.244	18731.672	12847.578	29098.016	11745.93	3604.1655	3075.5828	4464.7046
sp|P07339|CATD_HUMAN	53932.02	47875.477	33852.46	42492.4	42705.234	77993.32	202738.02	57691.703	75421.8	60517.977	48114.82	28198.812	205228.19	195393.25	213537.72	220234.14	70235.91	164420.64	272756.72	249699.89	329736.9
